type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smo+˝,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-50,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,4022720,0,110,0,0,4.20617,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 -2 18 -2 18 -1 17 0 18 0 17 0 17 1 17 1 17 2 17 2 17 2 17 3 17 3 16 3 16 3 17 3 15 3 16 3 15 3 15 2 15 3 15 2 15 2 15 2 15 2 14 2 0 0 14 1 14 1 14 1 14 0 13 0 14 0 14 0 14 -1 14 -1 14 -1 14 -1 14 -2 13 -2 14 -2 14 -3 13 -3 14 -3 13 -4 14 -4 13 -4 13 -4 14 -5 14 -5 13 -5 13 -5 13 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-50,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,5030018,0,110,0,0,5.21349,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 -11 -17 -12 -17 -13 -16 -13 -16 -14 -16 -14 -15 -14 -15 -14 -15 -14 -14 -15 -13 -15 -13 -15 -13 -15 -13 -15 -12 -15 -12 -15 -12 -15 -12 -14 -11 -14 -11 -14 -11 -14 -11 -14 -11 -13 -11 -13 -11 -14 -11 -13 0 0 -11 -13 -11 -12 -11 -12 -11 -12 -11 -12 -12 -12 -11 -12 -12 -11 -12 -11 -13 -11 -12 -10 -13 -10 -13 -10 -13 -10 -13 -10 -13 -10 -13 -9 -14 -9 -14 -9 -14 -8 -14 -9 -15 -9 -15 -8 -14 -8 -15 -9 -15 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,6024556,0,110,0,0,6.20799,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 19 -2 20 -3 20 -3 20 -4 19 -4 19 -5 19 -5 18 -6 19 -6 18 -6 18 -7 18 -7 18 -7 17 -7 17 -7 17 -7 17 -7 16 -7 16 -7 16 -7 16 -7 16 -6 15 -6 15 -7 15 -6 15 0 0 -6 15 -5 15 -5 15 -5 15 -5 14 -5 15 -5 15 -4 15 -4 15 -4 15 -3 15 -3 15 -3 15 -3 15 -2 15 -2 15 -2 15 -1 15 -1 15 -1 15 -1 16 -1 15 -1 15 0 16 0 16 0 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,7027063,0,110,0,0,7.21049,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 12 -14 11 -15 11 -16 10 -16 10 -16 9 -16 9 -16 9 -16 8 -16 8 -16 7 -16 7 -16 7 -16 6 -16 6 -16 6 -16 6 -15 6 -15 6 -15 5 -15 5 -15 5 -15 6 -14 5 -15 5 -14 5 0 0 -14 6 -14 5 -13 6 -13 6 -13 6 -13 6 -13 6 -13 6 -13 7 -12 7 -13 7 -12 7 -12 8 -12 8 -12 8 -12 8 -12 8 -11 8 -12 8 -11 9 -11 9 -12 8 -11 9 -11 9 -11 10 -11 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,8028697,0,110,0,0,8.21213,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 18 0 18 -1 18 -2 18 -2 18 -2 17 -3 17 -3 17 -3 18 -4 17 -4 17 -5 17 -5 16 -5 16 -5 16 -5 16 -5 15 -5 15 -5 15 -5 15 -5 15 -5 15 -4 14 -5 14 -5 14 -4 14 0 0 -4 14 -4 14 -3 13 -3 14 -3 13 -3 13 -2 13 -2 14 -2 14 -2 14 -1 14 -1 14 -1 14 -1 14 0 14 0 14 0 14 1 13 0 14 1 14 1 14 1 14 1 14 1 14 2 14 2 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,9028604,0,110,0,0,9.21211,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 -11 -17 -11 -18 -12 -17 -12 -17 -12 -16 -13 -16 -13 -16 -13 -15 -13 -15 -13 -14 -14 -14 -14 -14 -14 -13 -14 -13 -14 -13 -14 -13 -14 -13 -14 -12 -13 -13 -13 -13 -13 -13 -13 -12 -13 -12 -13 -12 -13 -12 -12 0 0 -12 -12 -12 -11 -12 -11 -12 -11 -13 -11 -13 -11 -13 -10 -13 -10 -13 -10 -14 -10 -13 -9 -13 -9 -14 -9 -13 -8 -14 -8 -14 -8 -14 -8 -14 -8 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,10031483,0,110,0,0,10.2149,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 17 9 17 8 18 8 18 8 18 7 18 7 18 6 18 6 18 5 18 5 19 4 18 4 18 4 18 4 18 4 18 4 17 4 17 3 16 3 17 3 17 3 17 4 16 4 16 3 16 4 16 0 0 4 15 4 15 4 15 5 15 4 14 5 14 5 14 5 14 6 14 6 14 6 14 6 14 7 13 7 13 7 13 7 13 8 13 8 13 8 13 9 13 9 13 8 13 9 12 10 12 10 12 10 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,11033719,0,110,0,0,11.2171,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 11 15 12 14 13 14 13 14 13 14 13 13 14 13 14 13 14 12 15 11 14 11 15 11 15 10 15 11 15 10 15 10 15 10 14 9 14 10 14 10 14 10 13 10 13 9 13 10 13 9 13 0 0 10 12 10 13 10 12 10 11 10 11 10 11 10 11 10 10 11 11 11 10 11 10 11 10 11 10 12 10 12 10 12 9 12 9 12 9 13 9 13 8 13 8 13 8 13 8 13 8 14 8 13 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,12033662,0,110,0,0,12.2171,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 13 14 13 14 14 13 14 13 15 12 15 12 15 12 15 12 15 11 16 10 16 9 16 9 16 9 16 9 15 9 16 9 15 9 15 9 14 9 14 9 14 9 14 9 14 8 14 8 14 8 13 0 0 9 13 9 13 9 12 9 12 9 12 10 11 10 11 10 11 11 11 11 11 10 11 10 11 11 10 11 10 12 10 12 9 12 10 12 9 13 9 13 8 13 9 13 8 13 8 13 9 13 8 14 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,13031504,0,110,0,0,13.2149,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -19 2 -18 2 -19 3 -18 3 -18 3 -18 4 -18 5 -17 5 -18 5 -17 5 -17 6 -17 6 -17 6 -16 6 -16 6 -16 6 -16 6 -15 6 -15 6 -15 6 -15 6 -15 5 -15 6 -14 5 -14 5 -14 0 0 4 -14 4 -14 4 -14 3 -15 3 -14 4 -14 3 -14 3 -14 2 -14 2 -15 2 -14 2 -14 2 -14 1 -15 1 -15 1 -15 1 -15 0 -15 0 -15 0 -15 0 -15 -1 -15 -1 -15 -1 -15 -1 -15 -2 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,14041790,0,110,0,0,14.2254,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 -5 -17 -5 -18 -6 -17 -6 -18 -7 -16 -7 -17 -7 -16 -8 -16 -8 -16 -9 -16 -9 -16 -9 -15 -9 -15 -9 -14 -9 -15 -9 -14 -8 -15 -9 -13 -8 -14 -8 -14 -8 -14 -8 -14 -8 -13 -8 -13 -8 -13 -8 0 0 -13 -7 -14 -7 -13 -6 -13 -7 -13 -6 -13 -6 -13 -6 -14 -5 -13 -5 -14 -5 -13 -5 -14 -4 -14 -4 -13 -4 -14 -4 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -15 -2 -15 -3 -14 -2 -15 -2 -15 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,15034654,0,110,0,0,15.2181,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 9 15 10 14 10 14 11 13 11 13 11 13 11 13 12 12 12 12 12 11 12 11 13 11 13 11 13 11 12 10 12 10 12 10 12 10 12 10 12 10 12 10 11 10 11 9 11 10 11 10 11 0 0 10 10 10 10 10 9 10 9 10 9 10 9 10 9 10 8 11 8 11 8 11 8 11 8 12 7 12 7 12 7 12 7 12 7 12 6 13 6 12 6 13 6 12 6 13 5 13 5 13 5 13 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,16036672,0,110,0,0,16.2201,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 13 -13 12 -14 12 -15 11 -15 11 -15 10 -15 10 -15 10 -16 9 -16 9 -15 8 -16 8 -15 8 -16 8 -16 8 -16 7 -15 7 -15 7 -15 7 -15 7 -15 7 -15 7 -14 7 -14 6 -14 7 -14 7 0 0 -13 7 -14 7 -13 7 -13 7 -12 7 -12 7 -13 8 -12 8 -12 8 -12 8 -12 8 -12 8 -11 9 -11 9 -11 9 -11 9 -11 9 -10 9 -10 10 -10 10 -10 10 -11 10 -10 10 -10 10 -10 11 -10 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,17039967,0,110,0,0,17.2234,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 18 0 18 -1 18 -1 18 -2 18 -2 17 -2 17 -3 17 -3 17 -4 17 -4 17 -5 17 -5 16 -5 16 -5 16 -5 16 -5 15 -5 16 -5 15 -5 15 -5 15 -5 15 -5 14 -4 14 -4 14 -4 14 0 0 -4 14 -3 14 -3 14 -3 14 -3 14 -2 14 -2 13 -2 14 -2 14 -2 14 -1 14 -1 14 -1 14 -1 13 0 14 0 14 0 14 0 14 1 14 1 14 1 14 1 14 1 14 1 14 2 14 2 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,18037890,0,110,0,0,18.2213,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 16 -9 15 -9 16 -10 15 -11 15 -10 14 -11 14 -11 14 -11 14 -12 13 -12 13 -12 13 -12 12 -12 12 -12 12 -12 12 -12 12 -11 12 -12 11 -11 11 -12 11 -11 11 -11 11 -11 10 -11 11 -10 10 0 0 -10 11 -10 11 -9 10 -9 11 -9 10 -9 11 -9 11 -9 11 -8 11 -8 11 -8 12 -8 12 -8 12 -8 12 -7 12 -7 12 -7 13 -6 12 -6 13 -6 12 -6 13 -6 13 -6 13 -6 13 -6 13 -5 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,19039217,0,110,0,0,19.2227,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 -15 14 -14 15 -13 15 -13 16 -13 15 -12 16 -11 16 -11 16 -11 17 -10 16 -10 17 -10 17 -9 17 -9 16 -9 16 -8 16 -9 15 -8 15 -8 15 -8 15 -8 15 -8 15 -8 14 -8 15 -8 14 -9 0 0 13 -8 14 -9 13 -9 13 -9 12 -9 12 -10 13 -9 12 -10 12 -10 12 -10 12 -11 12 -11 11 -11 11 -11 11 -11 11 -11 11 -12 10 -12 10 -12 10 -13 10 -13 10 -13 10 -13 9 -13 9 -13 9 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,20038316,0,110,0,0,20.2218,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 3 -20 3 -21 3 -20 1 -21 1 -20 0 -20 0 -20 0 -21 -1 -20 -1 -20 -2 -20 -2 -19 -2 -20 -3 -19 -3 -19 -3 -18 -3 -19 -3 -18 -3 -18 -3 -18 -2 -18 -2 -18 -3 -17 -2 -17 -2 -17 -2 0 0 -17 -2 -17 -2 -16 -1 -17 -1 -16 -1 -16 0 -16 0 -16 0 -16 1 -16 1 -16 1 -16 1 -16 1 -16 2 -16 2 -16 2 -16 2 -15 3 -16 3 -16 3 -16 4 -16 4 -16 4 -16 4 -16 4 -15 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-50,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,21048761,0,110,0,0,21.2322,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 3 -18 2 -19 1 -19 1 -19 0 -19 0 -18 -1 -18 -1 -19 -1 -18 -2 -18 -2 -18 -3 -18 -3 -18 -3 -17 -3 -17 -3 -17 -3 -16 -3 -16 -3 -16 -3 -16 -3 -16 -3 -16 -3 -15 -3 -16 -3 -16 -2 0 0 -15 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 -1 -15 0 -15 0 -15 0 -15 0 -15 1 -15 1 -15 1 -15 1 -15 2 -15 2 -14 2 -14 2 -14 3 -15 3 -14 3 -15 3 -15 3 -14 4 -15 4 -14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:D9:DB:AD,-51,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,22042989,0,110,0,0,22.2265,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 5 -19 5 -20 5 -20 4 -21 3 -19 3 -20 2 -20 2 -20 1 -20 1 -20 1 -20 1 -19 0 -20 0 -19 0 -19 0 -19 0 -18 0 -18 0 -18 0 -18 0 -18 0 -17 0 -17 0 -17 1 -17 0 0 0 -17 1 -17 2 -16 2 -16 2 -16 2 -16 3 -16 3 -16 3 -15 4 -15 4 -15 4 -15 4 -16 5 -15 5 -15 5 -15 5 -15 6 -15 6 -14 6 -15 7 -14 6 -15 7 -15 7 -14 8 -14 8 -14 8 0 0 0 0 0 0 0 0 0 0 ]
